"requirement_id","description","priority","acceptance","authority","approval","feature_ids","current_disposition","evidence","limitation"
"FR-PLT-001","Peta interaktif menjadi antarmuka utama untuk eksplorasi, pencarian, layer, hasil, dan rute.","MUST","Pengguna dapat pan, zoom, memilih fitur, dan mempertahankan konteks saat panel dibuka.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","MP01","IMPLEMENTED","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-PLT-002","MAPID MAPS digunakan sebagai ekosistem basemap utama sesuai akses/dokumentasi resmi.","MUST","Basemap tampil pada demo publik dan konfigurasi tidak mengekspos secret yang tidak semestinya.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","MP02","PARTIAL","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-PLT-003","Layer transportasi, UMKM, ruang usaha, komunitas, dan analitik dapat ditampilkan/dimatikan sesuai scope.","MUST","Kontrol layer mencerminkan layer yang tersedia dan tidak membuat layer fiktif.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","MP02; MP03; MP06","PARTIAL","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-PLT-004","Interaksi fitur menampilkan ringkasan atribut dan akses ke detail terkait.","MUST","Klik/tap pada fitur membuka informasi tanpa kehilangan posisi peta.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","MP04","PARTIAL","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-PLT-005","Sistem mendukung filter kategori, jarak, harga, jam buka, dan aksesibilitas jika atribut tersedia.","MUST","Filter hanya aktif untuk field terverifikasi; hasil konsisten dengan query backend.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","MP07; SE02","PARTIAL","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-PLT-006","Setiap layer/dataset memiliki metadata sumber dan waktu impor/pembaruan.","MUST","Provenance dapat diperiksa dari detail dataset atau fitur yang relevan.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","MP03; MP06","PARTIAL","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-PLT-007","Data besar tidak dimuat seluruhnya ke browser tanpa strategi query/rendering.","MUST","Aplikasi memakai bbox, pagination, clustering, tiling, atau simplifikasi sesuai dataset.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","MP05","PARTIAL","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-PLT-008","Aplikasi menyediakan state loading, kosong, error, retry, dan data tidak cukup.","MUST","Setiap core flow memiliki state yang dapat diuji tanpa blank screen.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","SE06","IMPLEMENTED","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-M1-001","Smart Search menerima kueri kebutuhan dalam bahasa alami.","MUST","Kueri menghasilkan JSON parameter tervalidasi atau memicu fallback manual.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","SE01","PARTIAL","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-M1-002","Parser AI hanya mengisi parameter pencarian, bukan hasil spasial.","MUST","Output parser tidak berisi koordinat, geometri rute, jarak, atau skor buatan AI.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","SE03","BLOCKED_EXTERNAL","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
"FR-M1-003","Filter manual tersedia sebagai jalur utama/fallback.","MUST","Pengguna dapat menyelesaikan pencarian inti saat AI tidak tersedia.","REPOSITORY_DRAFT_PROXY","OWNER_REFERENCE_REQUIRED","SE02","PARTIAL","Phase 10C traceability plus Phase 10D/10E/11/12A targeted regression","Named owner candidate PDF not repository-accessible; do not treat this row as approved authority"
